Name,Price,Link,Description,Offers,Product website,Specification
Palit GeForce RTX 4080 SUPER JetStream OC (NED408SS19T2-1032J),45 980 – 49 999 грн,https://hotline.ua/ua/computer-videokarty/palit-geforce-rtx-4080-super-jetstream-oc-ned408ss19t2-1032j/,Відеокарта NVIDIA GeForce RTX 4080 SUPER Частота GPU: 2580 (Boost) МГц GDDR6X 16 ГБ Частота пам'яті: 23000 МГц Шина: 256 біт PCI Express 4.0 Рік 02.2024,5,https://www.palit.com/palit/vgapro.php?id=5027&lang=en,"Бренд:
Palit
Тип:
Відеокарта
Виробник GPU:
NVIDIA
GPU:
GeForce RTX 4080 SUPER
Об'єм пам'яті, ГБ:
16
Тип пам'яті:
GDDR6X
Інтерфейс:
PCI Express 4.0
Система охолодження:
Активна
Дизайн системи охолодження:
Фірмова
Бекплейт:
є
Зупинка вентиляторів у простої:
є
Частоти роботи GPU, МГц:
2580 (Boost)
Частоти роботи пам'яті, МГц:
23000
Шина пам'яті, біт:
256
Вихідні роз'єми:
3xDisplayPort 1.4a, 1xHDMI 2.1а
Розміри, мм:
328,9 x 130,5 x 63,5
Додаткове живлення:
1x16pin
Споживана потужність, Вт:
320
Рекомендована потужність блоку живлення, Вт:
850
Підтримка DirectX:
DirectX 12 Ultimate
Максимальна роздільна здатність:
7680x4320
Різне:
4th Gen Tensor Cores, 3rd Gen RT Cores, NVIDIA DLSS 3, адаптер у комплекті 1x16pin to 2x8pin
Товар на сайті бренду:
https://www.palit.com/palit/vgapro.php?id=5027&..."
GIGABYTE GeForce RTX 4080 SUPER GAMING OC 16G (GV-N408SGAMING OC-16GD),48 579 – 55 749 грн,https://hotline.ua/ua/computer-videokarty/gigabyte-geforce-rtx-4080-super-gaming-oc-16g-gv-n408sgaming-oc-16gd/,Відеокарта NVIDIA GeForce RTX 4080 SUPER GDDR6X 16 ГБ Частота пам'яті: 23000 МГц Шина: 256 біт PCI Express 4.0 Рік 01.2024,41,https://www.gigabyte.com/ua/Graphics-Card/GV-N408SGAMING-OC-16GD#kf,"Бренд:
GIGABYTE
Тип:
Відеокарта
Виробник GPU:
NVIDIA
GPU:
GeForce RTX 4080 SUPER
Об'єм пам'яті, ГБ:
16
Тип пам'яті:
GDDR6X
Інтерфейс:
PCI Express 4.0
Система охолодження:
Активна
Дизайн системи охолодження:
Фірмова
Бекплейт:
є
Частоти роботи пам'яті, МГц:
23000
Шина пам'яті, біт:
256
Вихідні роз'єми:
3xDisplayPort 1.4a, 1xHDMI 2.1а
Розміри, мм:
342 x 150 x 75
Додаткове живлення:
1x16pin
Рекомендована потужність блоку живлення, Вт:
850
Підтримка DirectX:
DirectX 12 Ultimate
Максимальна роздільна здатність:
7680x4320
Різне:
4th Gen Tensor Cores, 3rd Gen RT Cores, NVIDIA DLSS 3, адаптер у комплекті 1x16pin to 3x8pin
Товар на сайті бренду:
https://www.gigabyte.com/ua/Graphics-Card/GV-N4..."
MSI GeForce RTX 4080 SUPER 16G SUPRIM X,53 056 – 63 477 грн,https://hotline.ua/ua/computer-videokarty/msi-geforce-rtx-4080-super-16g-suprim-x/,Відеокарта NVIDIA GeForce RTX 4080 SUPER Частота GPU: 2655 (Boost) МГц GDDR6X 16 ГБ Частота пам'яті: 23000 МГц Шина: 256 біт PCI Express 4.0 Рік 01.2024,21,https://www.msi.com/Graphics-Card/GeForce-RTX-4080-SUPER-16G-SUPRIM-X,"Бренд:
MSI
Тип:
Відеокарта
Виробник GPU:
NVIDIA
GPU:
GeForce RTX 4080 SUPER
Об'єм пам'яті, ГБ:
16
Тип пам'яті:
GDDR6X
Інтерфейс:
PCI Express 4.0
Система охолодження:
Активна
Дизайн системи охолодження:
Фірмова
Бекплейт:
є
Зупинка вентиляторів у простої:
є
Частоти роботи GPU, МГц:
2655 (Boost)
Частоти роботи пам'яті, МГц:
23000
Шина пам'яті, біт:
256
Вихідні роз'єми:
1xHDMI 2.1, 3хDisplayPort 1.4
Розміри, мм:
336 x 142 x 78
Додаткове живлення:
1x16pin
Споживана потужність, Вт:
320
Рекомендована потужність блоку живлення, Вт:
850
Підтримка DirectX:
DirectX 12 Ultimate
Максимальна роздільна здатність:
7680x4320
Різне:
4th Gen Tensor Cores, 3rd Gen RT Cores, NVIDIA DLSS 3, адаптер у комплекті 1x16pin to 3x8pin
Товар на сайті бренду:
https://www.msi.com/Graphics-Card/GeForce-RTX-4..."
Palit GeForce RTX 4080 SUPER GamingPro (NED408S019T2-1032A),47 251 – 54 352 грн,https://hotline.ua/ua/computer-videokarty/palit-geforce-rtx-4080-super-gamingpro-ned408s019t2-1032a/,Відеокарта NVIDIA GeForce RTX 4080 SUPER Частота GPU: 2550 (Boost) МГц GDDR6X 16 ГБ Частота пам'яті: 23000 МГц Шина: 256 біт PCI Express 4.0 Рік 02.2024,40,https://www.palit.com/palit/vgapro.php?id=5017&lang=en,"Бренд:
Palit
Тип:
Відеокарта
Виробник GPU:
NVIDIA
GPU:
GeForce RTX 4080 SUPER
Об'єм пам'яті, ГБ:
16
Тип пам'яті:
GDDR6X
Інтерфейс:
PCI Express 4.0
Система охолодження:
Активна
Дизайн системи охолодження:
Фірмова
Бекплейт:
є
Зупинка вентиляторів у простої:
є
Частоти роботи GPU, МГц:
2550 (Boost)
Частоти роботи пам'яті, МГц:
23000
Шина пам'яті, біт:
256
Вихідні роз'єми:
3xDisplayPort 1.4a, 1xHDMI 2.1а
Розміри, мм:
328,9 x 132,9 x 63,4
Додаткове живлення:
1x16pin
Споживана потужність, Вт:
320
Рекомендована потужність блоку живлення, Вт:
850
Підтримка DirectX:
DirectX 12 Ultimate
Максимальна роздільна здатність:
7680x4320
Різне:
4th Gen Tensor Cores, 3rd Gen RT Cores, NVIDIA DLSS 3, адаптер у комплекті 1x16pin to 2x8pin
Товар на сайті бренду:
https://www.palit.com/palit/vgapro.php?id=5017&..."
GIGABYTE GeForce RTX 4080 SUPER WINDFORCE V2 16G (GV-N408SWF3V2-16GD),46 159 – 54 885 грн,https://hotline.ua/ua/computer-videokarty/gigabyte-geforce-rtx-4080-super-windforce-v2-16g-gv-n408swf3v2-16gd/,Відеокарта NVIDIA GeForce RTX 4080 SUPER GDDR6X 16 ГБ Частота пам'яті: 23000 МГц Шина: 256 біт PCI Express 4.0 Рік 01.2024,45,https://www.gigabyte.com/ua/Graphics-Card/GV-N408SWF3V2-16GD#kf,"Бренд:
GIGABYTE
Тип:
Відеокарта
Виробник GPU:
NVIDIA
GPU:
GeForce RTX 4080 SUPER
Об'єм пам'яті, ГБ:
16
Тип пам'яті:
GDDR6X
Інтерфейс:
PCI Express 4.0
Система охолодження:
Активна
Дизайн системи охолодження:
Фірмова
Бекплейт:
є
Зупинка вентиляторів у простої:
є
Частоти роботи пам'яті, МГц:
23000
Шина пам'яті, біт:
256
Вихідні роз'єми:
1xHDMI 2.1, 3хDisplayPort 1.4
Розміри, мм:
330 x 136 x 58
Додаткове живлення:
1x16pin
Рекомендована потужність блоку живлення, Вт:
750
Підтримка DirectX:
DirectX 12 Ultimate
Максимальна роздільна здатність:
7680x4320
Різне:
4th Gen Tensor Cores, 3rd Gen RT Cores, NVIDIA DLSS 3, адаптер у комплекті 1x16pin to 3x8pin
Товар на сайті бренду:
https://www.gigabyte.com/ua/Graphics-Card/GV-N4..."
MSI GeForce RTX 4080 SUPER 16G VENTUS 3X OC,49 035 – 55 040 грн,https://hotline.ua/ua/computer-videokarty/msi-geforce-rtx-4080-super-16g-ventus-3x-oc/,Відеокарта NVIDIA GeForce RTX 4080 SUPER Частота GPU: 2595 (Boost) МГц GDDR6X 16 ГБ Частота пам'яті: 23000 МГц Шина: 256 біт PCI Express 4.0 Рік 01.2024,32,https://www.msi.com/Graphics-Card/GeForce-RTX-4080-SUPER-16G-VENTUS-3X-OC,"Бренд:
MSI
Тип:
Відеокарта
Виробник GPU:
NVIDIA
GPU:
GeForce RTX 4080 SUPER
Об'єм пам'яті, ГБ:
16
Тип пам'яті:
GDDR6X
Інтерфейс:
PCI Express 4.0
Система охолодження:
Активна
Дизайн системи охолодження:
Фірмова
Бекплейт:
є
Зупинка вентиляторів у простої:
є
Частоти роботи GPU, МГц:
2595 (Boost)
Частоти роботи пам'яті, МГц:
23000
Шина пам'яті, біт:
256
Вихідні роз'єми:
2xHDMI 2.1, 2хDisplayPort 1.4
Розміри, мм:
322 x 136 x 62
Додаткове живлення:
1x16pin
Споживана потужність, Вт:
320
Рекомендована потужність блоку живлення, Вт:
750
Підтримка DirectX:
DirectX 12 Ultimate
Максимальна роздільна здатність:
7680x4320
Різне:
4th Gen Tensor Cores, 3rd Gen RT Cores, NVIDIA DLSS 3, адаптер у комплекті 1x16pin to 3x8pin
Товар на сайті бренду:
https://www.msi.com/Graphics-Card/GeForce-RTX-4..."
Palit GeForce RTX 4080 SUPER GamingPro OC (NED408ST19T2-1032A),47 915 – 57 807 грн,https://hotline.ua/ua/computer-videokarty/palit-geforce-rtx-4080-super-gamingpro-oc-ned408st19t2-1032a/,Відеокарта NVIDIA GeForce RTX 4080 SUPER Частота GPU: 2610 (Boost) МГц GDDR6X 16 ГБ Частота пам'яті: 23000 МГц Шина: 256 біт PCI Express 4.0 Рік 02.2024,41,https://www.palit.com/palit/vgapro.php?id=5007&lang=en,"Бренд:
Palit
Тип:
Відеокарта
Виробник GPU:
NVIDIA
GPU:
GeForce RTX 4080 SUPER
Об'єм пам'яті, ГБ:
16
Тип пам'яті:
GDDR6X
Інтерфейс:
PCI Express 4.0
Система охолодження:
Активна
Дизайн системи охолодження:
Фірмова
Бекплейт:
є
Зупинка вентиляторів у простої:
є
Частоти роботи GPU, МГц:
2610 (Boost)
Частоти роботи пам'яті, МГц:
23000
Шина пам'яті, біт:
256
Вихідні роз'єми:
3xDisplayPort 1.4a, 1xHDMI 2.1а
Розміри, мм:
328,9 x 132,9 x 63,4
Додаткове живлення:
1x16pin
Споживана потужність, Вт:
320
Рекомендована потужність блоку живлення, Вт:
850
Підтримка DirectX:
DirectX 12 Ultimate
Максимальна роздільна здатність:
7680x4320
Різне:
4th Gen Tensor Cores, 3rd Gen RT Cores, NVIDIA DLSS 3, адаптер у комплекті 1x16pin to 2x8pin
Товар на сайті бренду:
https://www.palit.com/palit/vgapro.php?id=5007&..."
MSI GeForce RTX 4080 SUPER 16G GAMING X SLIM,48 588 – 56 299 грн,https://hotline.ua/ua/computer-videokarty/msi-geforce-rtx-4080-super-16g-gaming-x-slim/,Відеокарта NVIDIA GeForce RTX 4080 SUPER Частота GPU: 2625 (Boost) МГц GDDR6X 16 ГБ Частота пам'яті: 23000 МГц Шина: 256 біт PCI Express 4.0 Рік 01.2024,41,https://www.msi.com/Graphics-Card/GeForce-RTX-4080-SUPER-16G-GAMING-X-SLIM,"Бренд:
MSI
Тип:
Відеокарта
Виробник GPU:
NVIDIA
GPU:
GeForce RTX 4080 SUPER
Об'єм пам'яті, ГБ:
16
Тип пам'яті:
GDDR6X
Інтерфейс:
PCI Express 4.0
Система охолодження:
Активна
Дизайн системи охолодження:
Фірмова
Бекплейт:
є
Зупинка вентиляторів у простої:
є
Частоти роботи GPU, МГц:
2625 (Boost)
Частоти роботи пам'яті, МГц:
23000
Шина пам'яті, біт:
256
Вихідні роз'єми:
2xHDMI 2.1, 2хDisplayPort 1.4
Розміри, мм:
322 x 136 x 62
Додаткове живлення:
1x16pin
Споживана потужність, Вт:
320
Рекомендована потужність блоку живлення, Вт:
850
Підтримка DirectX:
DirectX 12 Ultimate
Максимальна роздільна здатність:
7680x4320
Різне:
4th Gen Tensor Cores, 3rd Gen RT Cores, NVIDIA DLSS 3, адаптер у комплекті 1x16pin to 3x8pin
Товар на сайті бренду:
https://www.msi.com/Graphics-Card/GeForce-RTX-4..."
GIGABYTE GeForce RTX 4080 SUPER AERO OC 16G (GV-N408SAERO OC-16GD),49 875 – 56 779 грн,https://hotline.ua/ua/computer-videokarty/gigabyte-geforce-rtx-4080-super-aero-oc-16g-gv-n408saero-oc-16gd/,Відеокарта NVIDIA GeForce RTX 4080 SUPER GDDR6X 16 ГБ Частота пам'яті: 23000 МГц Шина: 256 біт PCI Express 4.0 Рік 01.2024,41,https://www.gigabyte.com/ua/Graphics-Card/GV-N408SAERO-OC-16GD#kf,"Бренд:
GIGABYTE
Тип:
Відеокарта
Виробник GPU:
NVIDIA
GPU:
GeForce RTX 4080 SUPER
Об'єм пам'яті, ГБ:
16
Тип пам'яті:
GDDR6X
Інтерфейс:
PCI Express 4.0
Система охолодження:
Активна
Дизайн системи охолодження:
Фірмова
Бекплейт:
є
Частоти роботи пам'яті, МГц:
23000
Шина пам'яті, біт:
256
Вихідні роз'єми:
3xDisplayPort 1.4a, 1xHDMI 2.1а
Розміри, мм:
342 x 150 x 75
Додаткове живлення:
1x16pin
Рекомендована потужність блоку живлення, Вт:
850
Підтримка DirectX:
DirectX 12 Ultimate
Максимальна роздільна здатність:
7680x4320
Різне:
4th Gen Tensor Cores, 3rd Gen RT Cores, NVIDIA DLSS 3, адаптер у комплекті 1x16pin to 3x8pin
Товар на сайті бренду:
https://www.gigabyte.com/ua/Graphics-Card/GV-N4..."
MSI GeForce RTX 4080 SUPER 16G GAMING X SLIM WHITE,52 430 – 57 549 грн,https://hotline.ua/ua/computer-videokarty/msi-geforce-rtx-4080-super-16g-gaming-x-slim-white/,Відеокарта NVIDIA GeForce RTX 4080 SUPER Частота GPU: 2625 (Boost) МГц GDDR6X 16 ГБ Частота пам'яті: 23000 МГц Шина: 256 біт PCI Express 4.0 Рік 01.2024,33,https://www.msi.com/Graphics-Card/GeForce-RTX-4080-SUPER-16G-GAMING-X-SLIM-WHITE,"Бренд:
MSI
Тип:
Відеокарта
Виробник GPU:
NVIDIA
GPU:
GeForce RTX 4080 SUPER
Об'єм пам'яті, ГБ:
16
Тип пам'яті:
GDDR6X
Інтерфейс:
PCI Express 4.0
Система охолодження:
Активна
Дизайн системи охолодження:
Фірмова
Бекплейт:
є
Зупинка вентиляторів у простої:
є
Частоти роботи GPU, МГц:
2625 (Boost)
Частоти роботи пам'яті, МГц:
23000
Шина пам'яті, біт:
256
Вихідні роз'єми:
2xHDMI 2.1, 2хDisplayPort 1.4
Розміри, мм:
322 x 136 x 62
Додаткове живлення:
1x16pin
Споживана потужність, Вт:
320
Рекомендована потужність блоку живлення, Вт:
850
Підтримка DirectX:
DirectX 12 Ultimate
Максимальна роздільна здатність:
7680x4320
Різне:
4th Gen Tensor Cores, 3rd Gen RT Cores, NVIDIA DLSS 3, адаптер у комплекті 1x16pin to 3x8pin
Товар на сайті бренду:
https://www.msi.com/Graphics-Card/GeForce-RTX-4..."
