Name,Price,Link,Description,Offers,Product website,Specification
Intel Core i7-14700K (BX8071514700K),17 800 – 23 663 грн,https://hotline.ua/ua/computer-processory/intel-core-i7-14700k-bx8071514700k/,"Процесор Socket 1700 3,4 (Turbo 5,6) ГГц Кеш-пам'ять третього рівня: 33 МБ Загальна кількість ядер: 20 Число потоків: 28 Box Рік 10.2023",47,https://ark.intel.com/content/www/us/en/ark/products/236783.html,"Бренд:
Intel
Тип:
Процесор
Модель:
Intel Core i7-14700K
Тип роз'єму:
Socket 1700
Частоти
Тактова частота, ГГц:
3,4 (Turbo 5,6)
Тактова частота енергоефективних ядер:
2,5 (Turbo 4,3)
Кеш-пам'ять
Об'єм кеш-пам'яті третього рівня, МБ:
33
Ядро
Назва ядра:
Raptor Lake Refresh
Загальна кількість ядер:
20
Кількість високопродуктивних ядер:
8
Кількість енергоефективних ядер:
12
Кількість потоків:
28
Виробнича технологія, нм:
Intel 7
Потужність TDP, Вт:
125 (Turbo 253)
Ревізія ядра:
B0 (SRN3X)
Підтримка пам'яті
Максимальний обсяг пам'яті, ГБ:
192
Тип пам'яті:
DDR5-5600/DDR4-3200
Кількість каналів пам'яті:
2
Додатково
Комплектація (Tray / Box):
Box
Інтегрована графіка:
Intel UHD Graphics 770
Технологія віртуалізації:
Intel Virtualization Technology (VT-x), Intel Virtualization Technology for Directed I / O (VT-d)
Підтримка багатопоточності:
є
Розблокований множник:
є
Товар на сайті бренду:
https://ark.intel.com/content/www/us/en/ark/pro..."
Intel Core i7-14700KF (BX8071514700KF),15 870 – 19 699 грн,https://hotline.ua/ua/computer-processory/intel-core-i7-14700kf-bx8071514700kf/,"Процесор Socket 1700 3,4 (Turbo 5,6) ГГц Кеш-пам'ять третього рівня: 33 МБ Загальна кількість ядер: 20 Число потоків: 28 Box Рік 10.2023",46,https://ark.intel.com/content/www/us/en/ark/products/236789.html,"Бренд:
Intel
Тип:
Процесор
Модель:
Intel Core i7-14700KF
Тип роз'єму:
Socket 1700
Частоти
Тактова частота, ГГц:
3,4 (Turbo 5,6)
Тактова частота енергоефективних ядер:
2,5 (Turbo 4,3)
Кеш-пам'ять
Об'єм кеш-пам'яті третього рівня, МБ:
33
Ядро
Назва ядра:
Raptor Lake Refresh
Загальна кількість ядер:
20
Кількість високопродуктивних ядер:
8
Кількість енергоефективних ядер:
12
Кількість потоків:
28
Виробнича технологія, нм:
Intel 7
Потужність TDP, Вт:
125 (Turbo 253)
Ревізія ядра:
B0 (SRN3Y)
Підтримка пам'яті
Максимальний обсяг пам'яті, ГБ:
192
Тип пам'яті:
DDR5-5600/DDR4-3200
Кількість каналів пам'яті:
2
Додатково
Комплектація (Tray / Box):
Box
Технологія віртуалізації:
Intel Virtualization Technology (VT-x), Intel Virtualization Technology for Directed I / O (VT-d)
Підтримка багатопоточності:
є
Розблокований множник:
є
Товар на сайті бренду:
https://ark.intel.com/content/www/us/en/ark/pro..."
Intel Core i7-14700 (BX8071514700),17 095 – 19 749 грн,https://hotline.ua/ua/computer-processory/intel-core-i7-14700-bx8071514700/,"Процесор Socket 1700 2,1 (Turbo 5,4) ГГц Кеш-пам'ять третього рівня: 33 МБ Загальна кількість ядер: 20 Число потоків: 28 Box Рік 01.2024",69,https://ark.intel.com/content/www/us/en/ark/products/236781/intel-core-i7-processor-14700-33m-cache-up-to-5-40-ghz.html,"Бренд:
Intel
Тип:
Процесор
Модель:
Intel Core i7-14700
Тип роз'єму:
Socket 1700
Частоти
Тактова частота, ГГц:
2,1 (Turbo 5,4)
Тактова частота енергоефективних ядер:
1,5 (Turbo 4,2)
Кеш-пам'ять
Об'єм кеш-пам'яті третього рівня, МБ:
33
Ядро
Назва ядра:
Raptor Lake Refresh
Загальна кількість ядер:
20
Кількість високопродуктивних ядер:
8
Кількість енергоефективних ядер:
12
Кількість потоків:
28
Виробнича технологія, нм:
Intel 7
Потужність TDP, Вт:
65 (Turbo 253)
Ревізія ядра:
B0 (SRN40)
Підтримка пам'яті
Максимальний обсяг пам'яті, ГБ:
192
Тип пам'яті:
DDR5-5600/DDR4-3200
Кількість каналів пам'яті:
2
Додатково
Комплектація (Tray / Box):
Box
Інтегрована графіка:
Intel UHD Graphics 770
Технологія віртуалізації:
Intel Virtualization Technology (VT-x), Intel Virtualization Technology for Directed I / O (VT-d)
Підтримка багатопоточності:
є
Товар на сайті бренду:
https://ark.intel.com/content/www/us/en/ark/pro..."
Intel Core i7-14700F (BX8071514700F),16 080 – 18 429 грн,https://hotline.ua/ua/computer-processory/intel-core-i7-14700f-bx8071514700f/,"Процесор Socket 1700 2,1 (Turbo 5,4) ГГц Кеш-пам'ять третього рівня: 33 МБ Загальна кількість ядер: 20 Число потоків: 28 Box Рік 01.2024",55,https://ark.intel.com/content/www/us/en/ark/products/236854/intel-core-i7-processor-14700f-33m-cache-up-to-5-40-ghz.html,"Бренд:
Intel
Тип:
Процесор
Модель:
Intel Core i7-14700F
Тип роз'єму:
Socket 1700
Частоти
Тактова частота, ГГц:
2,1 (Turbo 5,4)
Тактова частота енергоефективних ядер:
1,5 (Turbo 4,2)
Кеш-пам'ять
Об'єм кеш-пам'яті третього рівня, МБ:
33
Ядро
Назва ядра:
Raptor Lake Refresh
Загальна кількість ядер:
20
Кількість високопродуктивних ядер:
8
Кількість енергоефективних ядер:
12
Кількість потоків:
28
Виробнича технологія, нм:
Intel 7
Потужність TDP, Вт:
65 (Turbo 253)
Ревізія ядра:
B0 (SRN3Z)
Підтримка пам'яті
Максимальний обсяг пам'яті, ГБ:
192
Тип пам'яті:
DDR5-5600/DDR4-3200
Кількість каналів пам'яті:
2
Додатково
Комплектація (Tray / Box):
Box
Технологія віртуалізації:
Intel Virtualization Technology (VT-x), Intel Virtualization Technology for Directed I / O (VT-d)
Підтримка багатопоточності:
є
Товар на сайті бренду:
https://ark.intel.com/content/www/us/en/ark/pro..."
Intel Core i7-14700KF (CM8071504820722),21 067 – 21 280 грн,https://hotline.ua/ua/computer-processory/intel-core-i7-14700kf-cm8071504820722/,"Процесор Socket 1700 3,4 (Turbo 5,6) ГГц Кеш-пам'ять третього рівня: 33 МБ Загальна кількість ядер: 20 Число потоків: 28 Tray Рік 10.2023",2,https://ark.intel.com/content/www/us/en/ark/products/236789.html,"Бренд:
Intel
Тип:
Процесор
Модель:
Intel Core i7-14700KF
Тип роз'єму:
Socket 1700
Частоти
Тактова частота, ГГц:
3,4 (Turbo 5,6)
Тактова частота енергоефективних ядер:
2,5 (Turbo 4,3)
Кеш-пам'ять
Об'єм кеш-пам'яті третього рівня, МБ:
33
Ядро
Назва ядра:
Raptor Lake Refresh
Загальна кількість ядер:
20
Кількість високопродуктивних ядер:
8
Кількість енергоефективних ядер:
12
Кількість потоків:
28
Виробнича технологія, нм:
Intel 7
Потужність TDP, Вт:
125 (Turbo 253)
Ревізія ядра:
B0 (SRN3Y)
Підтримка пам'яті
Максимальний обсяг пам'яті, ГБ:
192
Тип пам'яті:
DDR5-5600/DDR4-3200
Кількість каналів пам'яті:
2
Додатково
Комплектація (Tray / Box):
Tray
Технологія віртуалізації:
Intel Virtualization Technology (VT-x), Intel Virtualization Technology for Directed I / O (VT-d)
Підтримка багатопоточності:
є
Розблокований множник:
є
Товар на сайті бренду:
https://ark.intel.com/content/www/us/en/ark/pro..."
Acer Predator Helios Neo 18 PHN18-71-71LS Abyssal Black (NH.QRZEU.001),92 780 – 99 023 грн,https://hotline.ua/ua/computer-noutbuki-netbuki/acer-predator-helios-neo-18-phn18-71-71ls-abyssal-black-nhqrzeu001/,"Ноутбук Дисплей: 18""; IPS; 2560x1600; 165 Гц Процесор: Intel Core i7-14700HX; 2,1 (Turbo 5,5) ГГц Відеокарта: NVIDIA GeForce RTX 4070, 8 ГБ GDDR6 ОЗП: 32 ГБ; DDR5 SSD: 1000 ГБ ОС: DOS Вага: 3,4 кг Рік 03.2024",41,https://www.acer.com/ua-uk/predator/laptops/helios/helios-neo-18/pdp/NH.QRZEU.001,"Бренд:
Acer
Лінійка:
Predator Helios Neo 18 PHN18-71
Тип:
Ноутбук
Конструкція:
Класичний
Операційна система:
DOS
Дисплей
Діагональ, дюймів:
18
Тип матриці:
IPS
Тип покриття:
матове
Роздільна здатність:
2560x1600
Частота оновлення, Гц:
165
Інше:
NVIDIA G-SYNC, ComfyView, 100% DCI-P3
Оснащення
Процесор:
Intel Core i7-14700HX
Тактова частота, ГГц:
2,1 (Turbo 5,5)
Тактова частота енергоефективних ядер, ГГц:
1,5 (Turbo 3,9)
Загальна кількість ядер процесора:
20
Кількість продуктивних ядер процесора:
8
Кількість енергоефективних ядер процесора:
12
Кількість потоків процесора:
28
Чіпсет:
Intel HM770
Оперативна пам'ять, ГБ:
32
Тип пам'яті:
DDR5
SSD, ГБ:
1000
Графічний адаптер, об'єм пам'яті:
NVIDIA GeForce RTX 4070, 8 ГБ GDDR6
Зовнішні порти:
3xUSB 3.2, 2xUSB 3.2 (Type-C), HDMI, комбінований роз'єм для навушників/мікрофону
Картрідер:
є
Web-камера:
є
Підсвічування клавіатури:
є
Клавіатура з цифровим блоком:
є
Комунікації
Мережевий адаптер (Ethernet):
10/100/1000
Wi-Fi:
802.11ax (Wi-Fi 6/6E)
Bluetooth:
5.1
Фізичні параметри
Вага, кг:
3,4
Розмір, мм:
404х312.1х29.2
Матеріал корпусу:
алюміній/пластик
Колір кришки:
чорний
Колір корпусу:
чорний
Батарея та живлення
Ємність, Вт*год:
90
Зарядка по USB Type-C:
є
Потужність блоку живлення, Вт:
330
Тип акумулятора:
Li-ion
Товар на сайті бренду:
https://www.acer.com/ua-uk/predator/laptops/hel..."
Acer Predator Helios Neo 16 PHN16-72-79H8 Black (NH.QREEU.004),87 999 – 94 668 грн,https://hotline.ua/ua/computer-noutbuki-netbuki/acer-predator-helios-neo-16-phn16-72-79h8-black-nhqreeu004/,"Ноутбук Дисплей: 16""; IPS; 2560x1600; 240 Гц Процесор: Intel Core i7-14700HX; 2,1 (Turbo 5,5) ГГц Відеокарта: NVIDIA GeForce RTX 4070, 8 ГБ GDDR6 ОЗП: 32 ГБ; DDR5 SSD: 1000 ГБ ОС: DOS Вага: 2,8 кг Рік 03.2024",41,https://www.acer.com/ua-uk/predator/laptops/helios/helios-neo-16/pdp/NH.QREEU.004,"Бренд:
Acer
Лінійка:
Predator Helios Neo 16 PHN16-72
Тип:
Ноутбук
Конструкція:
Класичний
Операційна система:
DOS
Дисплей
Діагональ, дюймів:
16
Тип матриці:
IPS
Тип покриття:
матове
Роздільна здатність:
2560x1600
Частота оновлення, Гц:
240
Інше:
NVIDIA G-SYNC, ComfyView, 100% DCI-P3
Оснащення
Процесор:
Intel Core i7-14700HX
Тактова частота, ГГц:
2,1 (Turbo 5,5)
Тактова частота енергоефективних ядер, ГГц:
1,5 (Turbo 3,9)
Загальна кількість ядер процесора:
20
Кількість продуктивних ядер процесора:
8
Кількість енергоефективних ядер процесора:
12
Кількість потоків процесора:
28
Чіпсет:
Intel HM770
Оперативна пам'ять, ГБ:
32
Тип пам'яті:
DDR5
SSD, ГБ:
1000
Графічний адаптер, об'єм пам'яті:
NVIDIA GeForce RTX 4070, 8 ГБ GDDR6
Зовнішні порти:
3xUSB 3.2, 2xUSB 3.2 (Type-C), HDMI, комбінований роз'єм для навушників/мікрофону
Картрідер:
є
Web-камера:
є
Підсвічування клавіатури:
є
Клавіатура з цифровим блоком:
є
Комунікації
Мережевий адаптер (Ethernet):
10/100/1000/2500
Wi-Fi:
802.11ax (Wi-Fi 6/6E)
Bluetooth:
5.1
Фізичні параметри
Вага, кг:
2,8
Розмір, мм:
360.1x279.9x28.25
Матеріал корпусу:
алюміній/пластик
Колір кришки:
чорний
Колір корпусу:
чорний
Батарея та живлення
Ємність, Вт*год:
90
Зарядка по USB Type-C:
є
Потужність блоку живлення, Вт:
330
Тип акумулятора:
Li-ion
Товар на сайті бренду:
https://www.acer.com/ua-uk/predator/laptops/hel..."
ARTLINE Gaming TANKWHITE (TANKWHITEv07),70 230 – 72 815 грн,https://hotline.ua/ua/computer-nastolnye-kompyutery/artline-gaming-tankwhite-tankwhitev07/,"Десктоп Intel Core i7-14700F 2,1 ГГц ОЗП: 32 ГБ DDR5-6000 SSD: 1000 ГБ Графічний адаптер: NVIDIA GeForce RTX 4060 Ti 16 ГБ Рік 02.2024",16,N/A,"Бренд:
ARTLINE
Тип:
Десктоп
Чіпсет:
Intel B760
Процесор
Тип процесора:
Intel Core i7-14700F
Частота, GHz:
2,1
Кількість ядер:
8+12
Операційна система
Встановленою ОС:
Без ОС
Оперативна пам'ять
Обсяг оперативної пам'яті, ГБ:
32
Стандарт:
DDR5-6000
Накопичувачі
Обсяг SSD, ГБ:
1000
Інтерфейс:
M.2 NVMe
Графічний адаптер
Графічний чіпсет:
NVIDIA GeForce RTX 4060 Ti
Об'єм пам'яті, ГБ:
16
Тип пам'яті:
GDDR6
Оснащення
Звуковий контролер:
Інтегрований
Зовнішні порти:
1xUSB 3.0, 1xUSB 3.2 Gen 2 (Type-C), 1xD-Sub, 1xHDMI, 2xDisplayPort, 1xRealtek 2.5Gb Ethernet port, 3xUSB 3.2 Gen 1 (Type-A), 1xUSB 3.2 Gen 2 (Type-C) Type-A), Audio 3.5mm, 2x HDMI 2.1, 2x DisplayPort 1.4a
Мережевий адаптер:
10/100/1000/2500
Інше
Потужність БЖ, ВА/Вт:
750"
ARTLINE Gaming Y60 Windows 11 Home (Y60v01),99 041 – 102 689 грн,https://hotline.ua/ua/computer-nastolnye-kompyutery/artline-gaming-y60-windows-11-home-y60v01/,"Десктоп Intel Core i7-14700KF 3,4 ГГц ОЗП: 32 ГБ DDR5-6000 SSD: 2000 ГБ Графічний адаптер: NVIDIA GeForce RTX 4070 12 ГБ Рік 08.2023",18,N/A,"Бренд:
ARTLINE
Тип:
Десктоп
Чіпсет:
Intel Z690
Процесор
Тип процесора:
Intel Core i7-14700KF
Частота, GHz:
3,4
Кількість ядер:
20 (8+12)
Операційна система
Встановленою ОС:
Windows 11 Home
Оперативна пам'ять
Обсяг оперативної пам'яті, ГБ:
32
Стандарт:
DDR5-6000
Накопичувачі
Обсяг SSD, ГБ:
2000
Інтерфейс:
M.2 NVMe Gen4
Графічний адаптер
Графічний чіпсет:
NVIDIA GeForce RTX 4070
Об'єм пам'яті, ГБ:
12
Тип пам'яті:
GDDR6X
Оснащення
Звуковий контролер:
Інтегрований
Зовнішні порти:
2xUSB 3.0 (Type-A), 2xUSB 3.2 Gen 2 (Type-C), 3xDisplayPort, 1xHDMI, 1xRJ45 2.5Gb Ethernet, 2xUSB 3.2 Gen 2 (Type-A), 1xUSB 3.2 Gen 2x2 (Type-C). 1 (Type-A), 1xOptical S/PDIF, Audio
Мережевий адаптер:
10/100/1000/2500
Інше
Потужність БЖ, ВА/Вт:
800"
ARTLINE Gaming Y60 Windows 11 Home (Y60v12),133 759 – 138 685 грн,https://hotline.ua/ua/computer-nastolnye-kompyutery/artline-gaming-y60-windows-11-home-y60v12/,"Десктоп Intel Core i7-14700KF 3,4 ГГц ОЗП: 64 ГБ DDR5-6000 SSD: 2000 ГБ Графічний адаптер: NVIDIA GeForce RTX 4080 16 ГБ Рік 08.2023",18,N/A,"Бренд:
ARTLINE
Тип:
Десктоп
Чіпсет:
Intel Z690
Процесор
Тип процесора:
Intel Core i7-14700KF
Частота, GHz:
3,4
Кількість ядер:
20 (8+12)
Операційна система
Встановленою ОС:
Windows 11 Home
Оперативна пам'ять
Обсяг оперативної пам'яті, ГБ:
64
Стандарт:
DDR5-6000
Накопичувачі
Обсяг SSD, ГБ:
2000
Інтерфейс:
M.2 NVMe Gen4
Графічний адаптер
Графічний чіпсет:
NVIDIA GeForce RTX 4080
Об'єм пам'яті, ГБ:
16
Тип пам'яті:
GDDR6X
Оснащення
Звуковий контролер:
Інтегрований
Зовнішні порти:
2xUSB 3.0 (Type-A), 2xUSB 3.2 Gen 2 (Type-C), 3xDisplayPort, 1xHDMI, 1xRJ45 2.5Gb Ethernet, 2xUSB 3.2 Gen 2 (Type-A), 1xUSB 3.2 Gen 2x2 (Type-C). 1 (Type-A), 1xOptical S/PDIF, Audio
Мережевий адаптер:
10/100/1000/2500
Інше
Потужність БЖ, ВА/Вт:
1000"
